song,lyrics,genre
Little Bitty,"Have a little love on a little honeymoonYou got a little dish and you got a little spoonA little bitty house and a little bitty yardA little bitty dog and a little bitty car Well, it's alright to be little bittyA little hometown or a big old cityMight as well share, might as well smileLife goes on for a little bitty while A little bitty baby in a little bitty gownIt'll grow up in a little bitty townA big yellow bus and little bitty booksIt all started with a little bitty look Well, it's alright to be little bittyA little hometown or a big old cityMight as well share, might as well smileLife goes on for a little bitty while Heey You know you got a job and a little bitty checkA six pack of beer and a television setLittle bitty world goes around and aroundLittle bit of silence and a little bit of sound A good ol' boy and a pretty little girlStart all over in a little bitty worldLittle bitty plan and a little bitty dreamIt's all part of a little bitty schemeIt's alright to be little bitty A little hometown or a big old cityMight as well share, might as well smileLife goes on for a little bitty whileIt's alright to be little bittyA little hometown or a big old cityMight as well share, might as well smileLife goes on for a little bitty while Whoo",country
Remember When,"Remember when I was young and so were youAnd time stood still and love was all we knewYou were the first so was IWe made love and then you criedRemember when Remember when we vowed the vowsAnd walk the walkGave our hearts, made the start and it was hardWe lived and learned, life threw curvesThere was joy, there was hurtRemember when Remember when old ones died and new were bornAnd life was changed, dissassembled, rearrangedWe came together, fell apartAnd broke each other's heartsRemember when Remember when the sound of little feetWas the music we danced to week to weekBrought back the love, we found trustVowed we'd never give it upRemember when Remember when thirty seemed so oldNow,lookin' back, it's just a steppin' stoneTo where we are, where we've beenSaid we'd do it all againRemember when Remember when we said when we turned grayWhen the children grow up and move awayWe won't be sad, we'll be gladFor all the life we've hadAnd we'll remember when",country
Mud on the Tires,"I've got some big newsThe bank finally came throughAnd I'm holdin' the keys to a brand new ChevroletHave you been outside, it sure is a nice nightHow about a little test driveDown by the lake? There's a place I know about where the dirt road runs outAnd we can try out the four-wheel driveCome on now what do you sayGirl, I can hardly wait to get a little mud on the tires 'Cause it's a good nightTo be out there soakin' up the moonlightStake out a little piece of shore lineI've got the perfect place in mindIt's in the middle of nowhere only one way to get thereYou got to get a little mud on the tires Moonlight on a duck blindCatfish on a trout lineSun sets about nine this time of yearWe can throw a blanket downCrickets singin' in the backgroundAnd more stars that you can count on a night this clear I tell you what we need to doIs grab a sleepin' bag or twoAnd build us a little campfireAnd then with a little luck we might just get stuckLet's get a little mud on the tires 'Cause it's a good nightTo be out there soakin' up the moonlightStake out a little piece of shore lineI've got the perfect place in mind It's in the middle of nowhere only one way to get thereYou got to get a little mud on the tiresAnd then with a little luck we might just get stuckLet's get a little mud on the tires",country
Before He Cheats,"Right now, he's probably slow dancin'With a bleached-blond tramp and she's probably gettin' friskyRight now, he's probably buyin' her some fruity little drink'Cause she can't shoot whiskeyRight now, he's probably up behind her with a pool-stickShowin' her how to shoot a comboAnd he don't know I dug my key into the side of his pretty little souped-up four-wheel driveCarved my name into his leather seatsI took a Louisville slugger to both headlightsI slashed a hole in all four tiresMaybe next time he'll think before he cheats Right now, she's probably up singing someWhite-trash version of Shania karaokeRight now, she's probably sayin' """"I'm drunk""""And he's a-thinkin' that he's gonna get luckyRight now, he's probably dabbin' onThree dollars worth of that bathroom PoloOh, and he don't know That I dug my key into the side of his pretty little souped-up four-wheel driveCarved my name into his leather seatsI took a Louisville slugger to both headlightsI slashed a hole in all four tiresMaybe next time he'll think before he cheats I might have saved a little trouble for the next girlA-'cause the next time that he cheatsOh, you know it won't be on meNo, not on me 'Cause I dug my key into the side of his pretty little souped-up four-wheel driveCarved my name into his leather seatsI took a Louisville slugger to both headlightsI slashed a hole in all four tiresMaybe next time he'll think before he cheats Oh, maybe next time he'll think before he cheatsOh, before he cheatsOh-oh",country
What Was I Thinkin',"Becky was a beauty from South AlabamaHer daddy had a heart like a nine pound hammerThink he even did a little time in the slammerWhat was I thinkin'? She snuck out one night and met me by the front gateHer daddy came out wavin' that 12-gaugeWe tore out the drive, he peppered my tailgateWhat was I thinkin'? Oh, I knew there'd be hell to payBut that crossed my mind a little too late 'Cause I was thinkin' 'bout a little white tank topSittin' right there in the middle by meI was thinkin' 'bout a long kissMan, just gotta get goin' where the night might leadI know what I was feelin'But what was I thinkin'?What was I thinkin'? By the county line, the cops were nippin' on our heelsPulled off the road and kicked it in four-wheelShut off the lights and tore through a cornfieldWhat was I thinkin'? Out the other side, she was hollerin', """"Faster""""Took a dirt road, had the radio blastin'Hit the honky-tonk for a little close dancin'What was I thinkin'? Oh, I knew there'd be hell to payBut that crossed my mind a little too late 'Cause I was thinkin' 'bout a little white tank topSittin' right there in the middle by meI was thinkin' 'bout a long kissMan, just gotta get goin' where the night might leadI know what I was feelin'But what was I thinkin'? When a mountain of a man with a """"Born to kill"""" tattooTried to cut in, I knocked out his front toothWe ran outside, hood slidin' like Bo DukeWhat was I thinkin'? I finally got her home at a half past two, laterDaddy's in a lawn chair sittin' on the drivewayPut it in park as he started my wayWhat was I thinkin'?Oh, what was I thinkin'?Oh, what was I thinkin'?Then she gave a """"Come and get me"""" grinAnd like a bullet, we were gone again 'Cause I was thinkin' 'bout a little white tank topSittin' right there in the middle by meI was thinkin' 'bout a long kissMan, just gotta get goin' where the night might leadI know what I was feelin'Yeah, I know what I was feelin'But what was I thinkin'?What was I thinkin'? I know what I was feelin'What was I thinkin'?Guess I was thinkin' 'bout that tank topThose cutoffs",country
9 to 5,"Tumble outta bedAnd I stumble to the kitchenPour myself a cup of ambitionAnd yawn and stretch and try to come to life Jump in the showerAnd the blood starts pumpin'Out on the streetsThe traffic starts jumpin'With folks like me on the job from 9 to 5 Working 9 to 5What a way to make a livin'Barely gettin' byIt's all takin'And no givin'They just use your mindAnd they never give you creditIt's enough to drive youCrazy if you let it 9 to 5, for service and devotionYou would think that IWould deserve a fair promotionWant to move aheadBut the boss won't seem to let meI swear sometimes that man is out to get meMmmmm... They let you dreamJust a' watch 'em shatterYou're just a stepOn the boss man's ladderBut you got dreams he'll never take away In the same boatWith a lot of your friendsWaitin' for the dayYour ship'll come inAnd the tide's gonna turnAnd it's all gonna roll you away Workin' 9 to 5What a way to make a livin'Barely gettin' byIt's all takin'And no givin'They just use your mindAnd you never get the creditIt's enough to drive youCrazy if you let it 9 to 5, yeah, yes they got you where they want youThere's a better lifeAnd you think about it don't youIt's a rich man's gameNo matter what they call itAnd you spend your lifePutting money in his wallet 9 to 5What a way to make a livin'Barely gettin' byIt's all takin'And no givin'They just use you mindAnd they never give you creditIt's enough to drive youCrazy if you let it 9 to 5, yeah, they got you where they want youThere's a better lifeAnd you think about it don't youIt's a rich man's gameNo matter what they call itAnd you spend your lifePuttin' money in his wallet",country
Jolene,"Jolene, Jolene, Jolene, JoleneI'm beggin' of you, please don't take my manJolene, Jolene, Jolene, JolenePlease don't take him just because you can Your beauty is beyond compareWith flamin' locks of auburn hairWith ivory skin and eyes of emerald green Your smile is like a breath of springYour voice is soft like summer rainAnd I cannot compete with you, Jolene He talks about you in his sleepAnd there's nothin' I can do to keepFrom cryin' when he calls your name, Jolene And I can easily understandHow you could easily take my manBut you don't know what he means to me, Jolene Jolene, Jolene, Jolene, JoleneI'm beggin' of you, please don't take my manJolene, Jolene, Jolene, JolenePlease don't take him just because you can You could have your choice of menBut I could never love againHe's the only one for me, Jolene I had to have this talk with youMy happiness depends on youAnd whatever you decide to do, Jolene Jolene, Jolene, Jolene, JoleneI'm beggin' of you, please don't take my manJolene, Jolene, Jolene, JolenePlease don't take him even though you canJolene, Jolene",country
Breathe,"I can feel the magic floating in the airBeing with you gets me that wayI watch the sunlight dance across your faceAnd I've never been this swept awayAll my thoughts just seem to settle on the breezeWhen I'm lying wrapped up in your armsThe whole world just fades awayThe only thing I hear is the beatin' of your heart 'Cause I can feel you breatheIt's washin' over meAnd suddenly I'm meltin' into youThere's nothin' left to proveBaby all we need is just to beCaught up in the touchSlow and steady rushBaby isn't that the way that love's supposed to be? I can feel you breathe Just breathe In a way I know my heart is waking upAs all the walls come tumbling downCloser than I've ever felt beforeAnd I know, and you knowThere's no need for words right now 'Cause I can feel you breatheIt's washin' over meAnd suddenly I'm meltin' into youThere's nothin' left to proveBaby all we need is just to beCaught up in the touchSlow and steady rushBaby isn't that the way that love's supposed to be? I can feel you breathe Just breathe Caught up in the touchSlow and steady rushBaby isn't that the way that love's supposed to be? I can feel you breathe, just breatheI can feel the magic floating in the air Being with you gets me that way",country
This Kiss,"I don't want another heartbreakI don't need another turn to cryNo, I don't want to learn the hard wayBaby,'Hello' Oh no, 'Goodbye'But you got me like a rocketShootin' straight across the sky It's the way you love meIt's a feelin' like thisIt's centrifugal motionIt's perpetual blissIt's that pivotal momentIt's, ah, impossibleThis kiss, this kissUnstoppableThis kiss, this kiss Cinderella said to Snow White'How does love get so off course?Oh, all I wanted was a white knightWith a good heart, soft touch, fast horse'Ride me off into the sunsetBaby. I'm forever yours It's the way you love meIt's a feelin' like thisIt's centrifugal motionIt's perpetual blissIt's that pivotal momentIt's, ah, unthinkableThis kiss, this kissUnsinkableThis kiss, this kiss You can kiss me in the moonlightOn a rooftop under the skyOh, you can kiss me with the windows openWhile the rain comes pouring inside.Oh, kiss me in sweet slow motionLet's let everything slideYou've got me floating, you've got me flying It's the way you love meIt's a feelin' like thisIt's centrifugal motionIt's perpetual blissIt's that pivotal momentIt's, ah, subliminalThis kiss, this kissIt's criminalThis kiss, this kiss It's the way you love me babyIt's the way you love me darling, yeah It's the way you love meIt's a feelin' like thisIt's centrifugal motionIt's perpetual blissIt's that pivotal momentIt's, ah, subliminalThis kiss, this kissIt's criminalThis kiss, this kiss It's the way you love me babyIt's the way you love me darling, yeah",country
Redneck Woman,"Well, I ain't never been the Barbie doll typeNo, I can't swig that sweet Champagne, I'd rather drink beer all nightIn a tavern or in a honky tonk or on a four-wheel drive tailgate I've got posters on my wall of Skynyrd, Kid and StraitSome people look down on me, but I don't give a ripI'll stand barefooted in my own front yard with a baby on my hip 'Cause I'm a redneck womanI ain't no high class broadI'm just a product of my raisingI say, """"hey ya'll"""" and """"yee-haw""""And I keep my Christmas lights onOn my front porch all year long And I know all the words to every Charlie Daniels songSo here's to all my sistersOut there keeping it countryLet me get a big """"hell yeah""""From the redneck girls like meHell yeah (Hell yeah) Victoria's Secret, well their stuff's real niceOh, but I can buy the same damn thing on a Wal-Mart shelf half priceAnd still look sexyJust as sexy as those models on TV No, I don't need no designer tagTo make my man want meYou might think I'm trashy, a little too hardcoreBut in my neck of the woods I'm just the girl next door I'm a redneck womanI ain't no high class broadI'm just a product of my raisingI say, """"hey y'all"""" and """"yee-haw""""And I keep my Christmas lights onOn my front porch all year long And I know all the words to every Tanya Tucker songSo here's to all my sistersOut there keeping it countryLet me get a big """"hell yeah""""From the redneck girls like meHell yeah (Hell yeah) I'm a redneck womanI ain't no high class broadI'm just a product of my raisingAnd I say, """"hey y'all"""" and """"yee-haw""""And I keep my Christmas lights onOn my front porch all year long And I know all the words to every ol' Bocephus songSo here's to all my sisters out there keeping it countryLet me get a big """"hell yeah""""From the redneck girls like me (Hell yeah) Hell yeah (Hell yeah)Hell yeah (Hell yeah)I said hell yeah",country
