artist,song,lyrics,lyrics_url,genre
Michael Jackson,Billie Jean,"She was more like a beauty queen from a movie sceneI said, ""Don't mind, but what do you mean, I am the one""""Who will dance on the floor in the round""She said I am the oneWho will dance on the floor in the round",https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,She told me her name was Billie JeanAs she caused a sceneThen every head turned with eyes that dreamed of being the oneWho will dance on the floor in the round,https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,"People always told me, ""Be careful of what you do""""Don't go around breaking young girls' hearts"" (Hee-eeh)And mother always told me, ""Be careful of who you love""""And be careful of what you do"" (Oh, oh)""'Cause the lie becomes the truth"" (Oh, oh)",https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,"Billie Jean is not my loverShe's just a girl who claims that I am the one (Oh, baby)But the kid is not my son, hoo!She says I am the one (Oh, baby)But the kid is not my son(Hee-hee-hee, no, no, hee-hee-hee)Hoo",https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,"For 40 days and for 40 nights, I was on her sideBut who can stand when she's in demand?Her schemes and plans'Cause we danced on the floor in the round, hee",https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,So take my strong adviceJust remember to always think twice(Do think twice)Do think twice (Ah-hoo),https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,"She told my baby we'd danced 'til three, then she looked at meThen showed a photo of a baby crying, his eyes were like mine (Oh, no)'Cause we danced on the floor in the round, baby(Ooh, hee-hee-hee)",https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,"People always told me, ""Be careful of what you do""""And don't go around breaking young girls' hearts"" (Don't break no hearts)But she came and stood right by meThen the smell of sweet perfume (Oh, no)This happened much too soon (Oh, no)She called me to her room (Hoo)",https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,"Billie Jean is not my lover (Hoo)She's just a girl who claims that I am the oneBut the kid is not my sonNo-no-no, no-no-no-no-no-no, hoo",https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
Michael Jackson,Billie Jean,"Billie Jean is not my loverShe's just a girl who claims that I am the one (Oh baby)But the kid is not my son (No, no)She says I am the one (Oh, baby)But the kid is not my son (No, hee-hee)",https://www.last.fm/music/Michael+Jackson/_/Billie+Jean/+lyrics,pop
